TITLE     = ""
VARIABLES = "V1"
"V2"
"T/T<sub>Jet Centerline"
ZONE T="ZONE 001"
 STRANDID=0, SOLUTIONTIME=0
 I=29, J=29, K=1, ZONETYPE=Ordered
 DATAPACKING=BLOCK
 DT=(SINGLE SINGLE SINGLE )
 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001
 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001
 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001
 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001
 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001
 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001 -5.888686776E-001 -5.468066335E-001
 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001
 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001
 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001
 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001
 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001
 -5.468066335E-001 -5.468066335E-001 -5.468066335E-001 -5.047445893E-001 -5.047445893E-001
 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001
 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001
 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001
 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001
 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001 -5.047445893E-001
 -5.047445893E-001 -5.047445893E-001 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001
 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001
 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001
 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001
 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001
 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001 -4.626825452E-001
 -4.626825452E-001 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001
 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001
 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001
 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001
 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001
 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001 -4.206205010E-001
 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001
 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001
 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001
 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001
 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001
 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001 -3.785584569E-001 -3.364964128E-001
 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001
 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001
 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001
 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001
 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001
 -3.364964128E-001 -3.364964128E-001 -3.364964128E-001 -2.944343388E-001 -2.944343388E-001
 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001
 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001
 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001
 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001
 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001 -2.944343388E-001
 -2.944343388E-001 -2.944343388E-001 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001
 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001
 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001
 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001
 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001
 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001 -2.523722947E-001
 -2.523722947E-001 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001
 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001
 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001
 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001
 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001
 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001 -2.103102505E-001
 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001
 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001
 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001
 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001
 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001
 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001 -1.682482064E-001 -1.261861473E-001
 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001
 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001
 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001
 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001
 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001
 -1.261861473E-001 -1.261861473E-001 -1.261861473E-001 -8.412410319E-002 -8.412410319E-002
 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002
 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002
 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002
 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002
 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002 -8.412410319E-002
 -8.412410319E-002 -8.412410319E-002 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002
 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002
 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002
 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002
 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002
 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002 -4.206205159E-002
 -4.206205159E-002 0.000000000E+000 0.000000000E+000 0.000000000E+000 0.000000000E+000
 0.000000000E+000 0.000000000E+000 0.000000000E+000 0.000000000E+000 0.000000000E+000
 0.000000000E+000 0.000000000E+000 0.000000000E+000 0.000000000E+000 0.000000000E+000
 0.000000000E+000 0.000000000E+000 0.000000000E+000 0.000000000E+000 0.000000000E+000
 0.000000000E+000 0.000000000E+000 0.000000000E+000 0.000000000E+000 0.000000000E+000
 0.000000000E+000 0.000000000E+000 0.000000000E+000 0.000000000E+000 0.000000000E+000
 4.206205159E-002 4.206205159E-002 4.206205159E-002 4.206205159E-002 4.206205159E-002
 4.206205159E-002 4.206205159E-002 4.206205159E-002 4.206205159E-002 4.206205159E-002
 4.206205159E-002 4.206205159E-002 4.206205159E-002 4.206205159E-002 4.206205159E-002
 4.206205159E-002 4.206205159E-002 4.206205159E-002 4.206205159E-002 4.206205159E-002
 4.206205159E-002 4.206205159E-002 4.206205159E-002 4.206205159E-002 4.206205159E-002
 4.206205159E-002 4.206205159E-002 4.206205159E-002 4.206205159E-002 8.412410319E-002
 8.412410319E-002 8.412410319E-002 8.412410319E-002 8.412410319E-002 8.412410319E-002
 8.412410319E-002 8.412410319E-002 8.412410319E-002 8.412410319E-002 8.412410319E-002
 8.412410319E-002 8.412410319E-002 8.412410319E-002 8.412410319E-002 8.412410319E-002
 8.412410319E-002 8.412410319E-002 8.412410319E-002 8.412410319E-002 8.412410319E-002
 8.412410319E-002 8.412410319E-002 8.412410319E-002 8.412410319E-002 8.412410319E-002
 8.412410319E-002 8.412410319E-002 8.412410319E-002 1.261861473E-001 1.261861473E-001
 1.261861473E-001 1.261861473E-001 1.261861473E-001 1.261861473E-001 1.261861473E-001
 1.261861473E-001 1.261861473E-001 1.261861473E-001 1.261861473E-001 1.261861473E-001
 1.261861473E-001 1.261861473E-001 1.261861473E-001 1.261861473E-001 1.261861473E-001
 1.261861473E-001 1.261861473E-001 1.261861473E-001 1.261861473E-001 1.261861473E-001
 1.261861473E-001 1.261861473E-001 1.261861473E-001 1.261861473E-001 1.261861473E-001
 1.261861473E-001 1.261861473E-001 1.682482064E-001 1.682482064E-001 1.682482064E-001
 1.682482064E-001 1.682482064E-001 1.682482064E-001 1.682482064E-001 1.682482064E-001
 1.682482064E-001 1.682482064E-001 1.682482064E-001 1.682482064E-001 1.682482064E-001
 1.682482064E-001 1.682482064E-001 1.682482064E-001 1.682482064E-001 1.682482064E-001
 1.682482064E-001 1.682482064E-001 1.682482064E-001 1.682482064E-001 1.682482064E-001
 1.682482064E-001 1.682482064E-001 1.682482064E-001 1.682482064E-001 1.682482064E-001
 1.682482064E-001 2.103102505E-001 2.103102505E-001 2.103102505E-001 2.103102505E-001
 2.103102505E-001 2.103102505E-001 2.103102505E-001 2.103102505E-001 2.103102505E-001
 2.103102505E-001 2.103102505E-001 2.103102505E-001 2.103102505E-001 2.103102505E-001
 2.103102505E-001 2.103102505E-001 2.103102505E-001 2.103102505E-001 2.103102505E-001
 2.103102505E-001 2.103102505E-001 2.103102505E-001 2.103102505E-001 2.103102505E-001
 2.103102505E-001 2.103102505E-001 2.103102505E-001 2.103102505E-001 2.103102505E-001
 2.523722947E-001 2.523722947E-001 2.523722947E-001 2.523722947E-001 2.523722947E-001
 2.523722947E-001 2.523722947E-001 2.523722947E-001 2.523722947E-001 2.523722947E-001
 2.523722947E-001 2.523722947E-001 2.523722947E-001 2.523722947E-001 2.523722947E-001
 2.523722947E-001 2.523722947E-001 2.523722947E-001 2.523722947E-001 2.523722947E-001
 2.523722947E-001 2.523722947E-001 2.523722947E-001 2.523722947E-001 2.523722947E-001
 2.523722947E-001 2.523722947E-001 2.523722947E-001 2.523722947E-001 2.944343388E-001
 2.944343388E-001 2.944343388E-001 2.944343388E-001 2.944343388E-001 2.944343388E-001
 2.944343388E-001 2.944343388E-001 2.944343388E-001 2.944343388E-001 2.944343388E-001
 2.944343388E-001 2.944343388E-001 2.944343388E-001 2.944343388E-001 2.944343388E-001
 2.944343388E-001 2.944343388E-001 2.944343388E-001 2.944343388E-001 2.944343388E-001
 2.944343388E-001 2.944343388E-001 2.944343388E-001 2.944343388E-001 2.944343388E-001
 2.944343388E-001 2.944343388E-001 2.944343388E-001 3.364964128E-001 3.364964128E-001
 3.364964128E-001 3.364964128E-001 3.364964128E-001 3.364964128E-001 3.364964128E-001
 3.364964128E-001 3.364964128E-001 3.364964128E-001 3.364964128E-001 3.364964128E-001
 3.364964128E-001 3.364964128E-001 3.364964128E-001 3.364964128E-001 3.364964128E-001
 3.364964128E-001 3.364964128E-001 3.364964128E-001 3.364964128E-001 3.364964128E-001
 3.364964128E-001 3.364964128E-001 3.364964128E-001 3.364964128E-001 3.364964128E-001
 3.364964128E-001 3.364964128E-001 3.785584569E-001 3.785584569E-001 3.785584569E-001
 3.785584569E-001 3.785584569E-001 3.785584569E-001 3.785584569E-001 3.785584569E-001
 3.785584569E-001 3.785584569E-001 3.785584569E-001 3.785584569E-001 3.785584569E-001
 3.785584569E-001 3.785584569E-001 3.785584569E-001 3.785584569E-001 3.785584569E-001
 3.785584569E-001 3.785584569E-001 3.785584569E-001 3.785584569E-001 3.785584569E-001
 3.785584569E-001 3.785584569E-001 3.785584569E-001 3.785584569E-001 3.785584569E-001
 3.785584569E-001 4.206205010E-001 4.206205010E-001 4.206205010E-001 4.206205010E-001
 4.206205010E-001 4.206205010E-001 4.206205010E-001 4.206205010E-001 4.206205010E-001
 4.206205010E-001 4.206205010E-001 4.206205010E-001 4.206205010E-001 4.206205010E-001
 4.206205010E-001 4.206205010E-001 4.206205010E-001 4.206205010E-001 4.206205010E-001
 4.206205010E-001 4.206205010E-001 4.206205010E-001 4.206205010E-001 4.206205010E-001
 4.206205010E-001 4.206205010E-001 4.206205010E-001 4.206205010E-001 4.206205010E-001
