TITLE     = ""
VARIABLES = "V1"
"V2"
"T/T<sub>Jet Centerline"
ZONE T="ZONE 002"
 STRANDID=0, SOLUTIONTIME=0
 I=73, J=23, K=1, ZONETYPE=Ordered
 DATAPACKING=BLOCK
 DT=(SINGLE SINGLE SINGLE )
 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001
 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001
 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001
 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001
 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001
 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001
 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001
 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001
 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001
 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001
 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001
 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001
 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001
 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001 2.523719966E-001
 2.523719966E-001 2.523719966E-001 2.523719966E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001 4.626829922E-001
 4.626829922E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001
 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001
 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001
 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001
 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001
 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001
 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001
 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001
 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001
 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001
 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001
 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001
 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001
 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001
 6.729930043E-001 6.729930043E-001 6.729930043E-001 6.729930043E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001 8.833029866E-001
 8.833029866E-001 8.833029866E-001 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000 1.093613029E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.303923965E+000
 1.303923965E+000 1.303923965E+000 1.303923965E+000 1.514233947E+000 1.514233947E+000
 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000
 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000 1.514233947E+000
